name,latitude,longitude,醤油,豚骨,味噌,塩,つけ麺,家系,二郎系,担々麺,魚介,油そば,まぜそば,ちゃんぽん,鶏白湯
麺屋 義,35.73090845732665,139.76368030287315,14,0,0,26,0,0,0,0,6,0,0,0,0
すごい煮干ラーメン凪 新宿ゴールデン街店別館,35.69496943868726,139.7035294845673,3,0,0,1,0,0,0,0,1,3,0,0,0
案山子,35.70848412103618,139.7756817275023,21,0,0,8,2,0,0,0,0,0,0,0,5
SHRIMP NOODLE 海老ポタ,35.66634753872225,139.7563161842412,0,0,1,0,2,0,0,1,0,0,2,0,0
ひろちゃんラーメン!,35.73273231921789,139.70969220260537,12,0,0,13,1,0,0,0,0,0,0,0,0
鶏白湯専門 らーめん我羅奢,35.71051969935196,139.70993598284653,5,3,2,15,1,0,0,0,0,0,4,0,18
ふく流らーめん 轍 東京高田馬場本店,35.71254573867718,139.70692228474246,4,1,0,5,0,0,0,0,2,1,9,0,12
鶏そば・ラーメン Tonari,35.65818843870765,139.6941884842023,12,0,0,13,0,0,0,0,2,2,0,0,0
光来,35.695121358664856,139.697345807226,13,2,16,2,0,0,0,1,1,0,0,0,0
支那麺 はしご 銀座八丁目店,35.66756233872334,139.76215868424936,6,0,0,3,0,0,0,12,0,0,0,0,0
中華麺酒房 中華そば すずらん,35.64823220384152,139.7104424197282,2,0,0,2,0,0,0,4,0,0,0,0,0
MENYA NAKAGAWA,35.73357220181102,139.70811368392035,14,3,0,12,15,0,0,0,16,0,0,0,0
らーめん バリ男 新橋本店,35.668467159486816,139.7522977342166,6,13,0,2,3,0,9,0,0,0,0,0,0
俺の空 池袋店,35.73217653866766,139.71614778493426,1,0,0,1,14,0,0,0,12,0,1,0,0
環七土佐っ子ラーメン,35.732967538665115,139.70979308494674,7,2,0,3,0,0,0,0,0,0,0,0,0
極上中華そば 福味 東京駅　KITTE店,35.679505238716764,139.7653066843678,19,0,0,9,2,0,0,0,0,0,0,0,5
銀座 創龍,35.67159615471929,139.76164348065538,38,5,1,2,3,0,1,0,2,0,0,0,0
利しり,35.696000018739504,139.7029208450769,3,1,10,1,0,0,0,0,0,0,0,0,0
鷹流 高田馬場店,35.712539238675156,139.70056318474684,1,0,0,25,8,0,0,0,0,0,0,0,3
博多長浜ラーメン 呑龍,35.66452013872426,139.7589383842209,0,19,0,4,0,0,0,0,0,0,0,0,0
麺処 マゼル,35.69778829775695,139.77437260645766,15,0,0,7,0,0,11,0,0,0,22,0,0
東京らあめんタワー 芝大門本店,35.657569438727506,139.7553361841532,22,1,0,2,4,0,0,0,1,0,0,0,0
天虎,35.65407003872891,139.75274108411966,28,9,3,6,0,8,0,0,0,0,0,0,0
麺屋げんぞう,35.707779379980266,139.7702880412283,0,0,1,37,0,0,0,8,2,0,0,0,0
東京スタイルみそらーめん ど・みそ  京橋本店,35.675412538720295,139.76823598432438,0,2,57,1,1,0,0,0,2,0,0,0,0
175°DENO担担麺 GINZa,35.67359133872101,139.76686528430696,0,0,0,1,0,0,0,11,0,0,1,0,0
TOKYO豚骨BASE MADE by博多一風堂 品川店,35.62804123874107,139.7389887838664,8,37,3,1,1,1,0,0,0,0,0,0,0
ごっつ 秋葉原店,35.70059143870654,139.77528798457377,4,2,3,10,1,1,1,0,0,0,0,0,0
横浜ラーメン 町田家 新宿南口店,35.68852663869113,139.7028504845027,11,8,0,8,0,22,0,0,0,0,0,0,0
荒海,35.68680964111928,139.69605702531683,4,14,3,10,17,6,9,2,12,0,0,0,0
四川担担麺 阿吽 キッテグランシェ店,35.679680838716614,139.76519388436964,0,0,3,0,0,0,0,3,0,0,0,0,0
さっぽろ羅偉伝,35.712974828420215,139.70055359345903,2,0,24,6,0,0,0,0,0,0,0,0,0
松富,35.67137623872072,139.7615548842883,5,0,2,8,2,0,0,9,1,0,0,0,0
新高揚,35.68934473868908,139.69801508451434,6,0,0,4,10,0,0,0,0,0,0,0,0
道玄,35.71297098563501,139.70316948749735,15,0,0,7,0,0,0,0,0,1,0,0,3
焼麺　劔,35.71346575701892,139.70901370157802,0,16,0,0,0,0,0,0,8,0,0,0,0
盛運亭,35.64758023872793,139.73672008406535,6,1,0,7,0,0,0,0,0,0,0,0,0
えっちゃんラーメン。,35.64446160885338,139.74870663771614,2,2,0,5,6,1,0,0,0,0,0,0,0
らーめん かつお拳,35.697938432714984,139.78301827041255,4,0,0,7,2,0,0,0,6,0,1,0,0
くるめや,35.66744723872055,139.75312088425454,0,22,0,0,0,0,0,0,0,0,0,1,0
桃天花,35.73201888970094,139.7793306186564,0,0,0,2,22,0,0,15,1,0,0,0,0
創始 麺屋武蔵,35.69555443657047,139.69866871873094,2,6,1,1,19,0,0,0,8,0,0,0,0
屯ちん 池袋本店,35.7276478386696,139.71321608489058,12,29,1,2,1,0,0,0,8,0,0,0,0
焼きあご塩らー麺 たかはし 上野店,35.70827843870134,139.77430208465213,5,3,26,28,0,0,0,0,2,0,0,0,0
笠岡らーめん TAKETONBO,35.66769373872598,139.77068448424473,21,0,2,16,2,0,0,0,2,0,0,0,0
麺友 一誠,35.71249463867485,139.69948488474716,1,11,1,3,5,1,0,0,0,0,3,0,0
竹ちゃんタンメン,35.71810553869979,139.7889775847411,3,1,11,14,0,0,0,0,0,0,0,1,8
担々麺 かんだ橋 本店,35.692344138709956,139.76956608449447,0,0,13,0,0,0,0,20,0,0,0,0,0
AFURI 恵比寿,35.64829473871925,139.7108721840907,9,1,1,18,8,0,0,0,2,0,0,0,0
えびそば 一幻 八重洲地下街店,35.67861301688898,139.76809539953283,3,2,14,11,0,0,0,0,0,0,0,0,0
つけめんTETSU 千駄木本店,35.73121743868225,139.76011928489376,1,15,4,3,37,0,0,0,18,0,4,0,0
唐そば,35.65846343871054,139.70382278419834,1,16,0,0,18,0,0,0,1,0,0,0,0
鶏王けいすけ 秋葉原店,35.69842493870629,139.77017198455547,2,0,0,1,10,0,0,0,0,0,1,0,16
やっとこ 三田店,35.64782031619816,139.74297751443376,1,2,25,3,0,5,0,0,0,1,2,0,0
支那麺 はしご 銀座四丁目店,35.6697735387241,139.76896498426692,8,0,0,0,1,0,0,15,0,0,0,0,0
麺屋優光 銀座店,35.670200138721015,139.76011788427746,17,0,0,6,0,0,0,0,0,0,0,0,0
麺屋宗&SOU 中目黒店,35.6408309035273,139.70199707299383,13,0,0,38,11,0,0,0,2,2,0,0,4
長岡食堂 東京ラーメン横丁店,35.68148345851688,139.76960242618603,46,1,6,13,0,1,0,0,0,2,0,0,0
ラーメンBAR やきそばー HIT,35.73279563867443,139.73870178492473,3,2,0,0,4,0,0,0,1,4,0,0,0
らー麺 夢あかり,35.72566013867617,139.72989808485883,0,3,1,1,13,0,0,0,13,3,0,0,0
鮎ラーメン+ 虎ノ門横丁店,35.667597238719495,139.75012908425813,2,0,0,11,0,0,0,0,1,0,0,0,0
自家製熟成麺 吉岡,35.722294464352636,139.7049739083704,24,0,0,1,0,0,1,0,0,0,0,0,0
横濱 本丸亭  新橋店,35.664643638723554,139.75703198422346,0,0,0,46,0,0,0,0,3,0,0,0,0
ラーメン ドゥエ エド ジャパン,35.670731738718544,139.7534167842875,16,0,0,1,0,0,0,0,1,0,0,0,0
神田とりそば なな蓮,35.69028320808596,139.77098989960578,13,0,0,19,3,0,0,0,1,0,0,0,0
集来,35.65633193872784,139.75389898414173,5,0,0,7,1,0,0,0,2,0,0,0,0
えっちゃんラーメン。,35.69427660100309,139.7020519242061,4,1,0,3,1,0,0,0,0,0,0,0,0
吉法師,35.66257050668638,139.70108087037562,0,0,0,7,0,0,0,0,0,0,0,0,4
こいけのいえけい,35.730268938676296,139.7394949848986,15,17,0,5,4,24,0,0,1,0,0,0,0
麺たつ,35.73636683866776,139.7248612849705,7,4,0,25,0,1,0,0,1,0,0,0,0
らあめん あじるく,35.73301070890754,139.73052601509738,1,0,0,16,0,0,0,0,1,0,0,0,0
ひるがお 東京駅店,35.68022652869294,139.7683093960124,8,0,1,46,10,0,0,0,5,0,0,0,0
江戸前煮干中華そば きみはん 五反田店,35.62554313873791,139.7241113838516,2,0,4,4,4,0,3,0,1,0,0,0,0
雲林坊 秋葉原店,35.69547712823061,139.77277867857654,0,0,1,3,0,0,0,9,0,0,0,0,0
つじ田 味噌の章 東京駅店,35.680391434231474,139.76789227896487,1,0,56,1,2,0,0,0,0,0,0,0,0
生粋 池袋本店,35.7322442770704,139.70747129841013,14,0,0,19,2,0,0,0,13,6,0,0,0
末廣ラーメン本舗 高田馬場分店,35.71190233867812,139.7085918847348,14,1,0,7,0,0,0,0,0,0,0,0,0
らすた 代々木店,35.682652246400274,139.70101106268433,8,3,0,0,2,23,0,0,0,0,1,0,0
銀座 いし井 五反田店,35.62361013873851,139.72213088383344,0,0,0,0,18,0,0,0,1,0,0,0,0
銀座 篝 Echika池袋店,35.731749882562156,139.70730272406226,10,1,0,6,1,0,1,0,1,0,1,0,15
秋葉原ラーメン わいず,35.70274269968098,139.77047103570635,4,2,1,5,11,20,3,0,2,0,0,0,0
しお貫,35.64511766897498,139.71799943551738,1,0,3,29,1,0,0,0,0,0,0,0,0
ラーメン長山,35.72081763869508,139.77963198477505,7,11,12,0,1,0,0,0,0,0,0,0,0
博多麺房 赤のれん 丸ビル店,35.68106963871541,139.7641663843844,6,7,0,3,0,2,0,8,0,0,0,0,0
六厘舎 上野店,35.7121830386991,139.77504828469105,2,5,0,2,15,0,1,0,2,0,0,0,0
