name,latitude,longitude,醤油,豚骨,味噌,塩,つけ麺,家系,二郎系,担々麺,魚介,油そば,まぜそば,ちゃんぽん,鶏白湯
三ツ矢堂製麺 武蔵小山店,35.61941263873535,139.7038236838039,2,8,1,0,20,0,0,1,12,0,0,0,0
BumBunBlauCafe,35.60596994887661,139.70421960458586,8,0,0,15,3,0,0,3,4,0,0,0,0
フュージョンラーメン 醤太郎,35.60576903898375,139.7145090370776,11,8,0,1,4,0,0,0,0,1,1,0,0
喜家　ともえ軒 大森本店,35.59289824620382,139.73343305803434,13,5,0,0,8,1,0,0,10,0,0,0,0
らぁ麺 貝屋の台所 匠大崎店,35.61942974974213,139.7275317710213,11,1,2,17,0,0,0,0,0,0,0,0,0
ラーメン道楽 旗の台店,35.60599363874386,139.70382688366834,6,6,4,2,1,5,0,0,1,0,0,0,0
あおた,35.6187129387491,139.74561368376752,3,0,4,2,0,0,0,0,0,0,0,0,0
田じまや,35.602354759938,139.7189735457229,3,2,3,3,0,0,0,0,0,0,0,0,0
元祖ニュータンタンメン本舗 ニューみそ屋 五反田店,35.62681213873771,139.72601928386308,2,0,11,7,8,1,0,1,0,0,0,0,0
一風堂 武蔵小山店,35.61711513873796,139.70745488377813,1,10,1,1,2,0,0,0,2,0,0,0,0
はいむる,35.61873717089569,139.70287412850132,1,0,0,3,0,0,0,0,0,0,0,0,6
ラーメン豚39 大井町店,35.60694310863408,139.73204697094212,2,2,0,4,0,0,10,0,0,0,2,0,0
町田商店 宮益坂店,35.66023083870997,139.70551648421502,5,1,0,0,0,9,0,0,0,0,0,0,0
油そば 春日亭 渋谷店,35.65892223870852,139.6983813842068,5,1,0,1,2,0,0,0,0,61,0,0,0
つじ田 渋谷フクラス店,35.657653519160874,139.70031088293229,1,5,1,2,36,0,0,2,11,0,0,0,0
塩豚骨らーめん たちひら,35.659055138708005,139.69703908420908,3,14,2,15,7,2,0,1,7,0,0,0,0
らーめん山頭火 渋谷店,35.65563053871317,139.7064203841679,2,4,5,15,1,0,0,6,0,0,0,0,0
俺流塩らーめん 東急本店前店,35.660265038707024,139.69636478422177,1,0,0,35,0,0,0,0,0,0,0,0,0
俺流塩らーめん 原宿駅前店,35.67226340280373,139.70359910384687,0,0,11,13,2,0,0,0,0,0,1,0,1
博多 一風堂 恵比寿店,35.6486613735949,139.71324716703114,2,5,7,1,3,0,0,2,0,0,6,0,0
天下一品 渋谷店,35.66071313870727,139.6980523842251,0,0,14,1,0,0,0,0,0,0,0,0,0
せい家 原宿店,35.67223993870166,139.70342018433777,4,10,1,3,0,23,1,0,0,0,0,0,0
麺屋 五常 渋谷マークシティ店,35.65813173870906,139.69849518419875,2,8,0,1,14,0,0,0,1,0,0,0,0
まぜそば たまに らーめん チョップス,35.68165533869572,139.70352948443278,7,2,0,2,0,1,7,0,0,0,30,0,0
代々木商店 2号店,35.67981403869168,139.68717628442568,12,6,8,5,1,39,0,0,0,0,0,0,0
俺流塩らーめん 神宮前店,35.66731303870545,139.70549298428656,0,0,3,41,1,0,0,2,0,0,1,0,1
町田商店 恵比寿東口店,35.6470006806316,139.7111140873145,2,2,0,1,0,14,0,0,0,0,0,0,0
背脂煮干中華そば 我武者羅 幡ヶ谷店,35.676746858080975,139.6744238204247,3,0,1,1,1,0,0,0,0,0,0,0,0
三田製麺所 恵比寿南店,35.64602773871958,139.70739218407022,1,9,0,0,29,0,0,2,12,1,9,0,0
東京らーめん てん,35.68767963868542,139.68315668450796,5,10,20,6,0,2,0,0,0,0,0,0,0
ももまる 渋谷店,35.656406999223975,139.70107809882936,0,0,3,0,0,0,0,0,0,0,2,0,0
麺屋 帆のる 恵比寿店,35.64337383872264,139.7117141840404,1,0,0,3,1,3,0,1,0,0,0,0,12
時田屋,35.67431403870277,139.7110211843534,11,0,11,3,0,0,0,0,0,0,0,0,0
まぜそば 渋谷 チョップス,35.659873338708124,139.69903178421595,2,0,0,0,0,0,6,0,0,4,8,0,0
真鯛らーめん 麺魚 代々木上原店,35.66922499454791,139.68070420071564,0,0,4,5,7,1,0,0,0,0,0,0,0
三田製麺所 渋谷道玄坂店,35.659080038708176,139.69761058420892,1,7,3,2,32,0,4,0,14,1,0,0,0
野郎ラーメン 渋谷センター街総本店,35.66027313870791,139.6991424842199,8,10,2,4,2,0,12,0,0,0,0,1,0
らーめん山頭火 原宿店,35.66750413870558,139.70628068428795,1,12,7,9,1,0,0,0,0,0,0,0,0
天下一品 恵比寿店,35.64657163871957,139.70846768407495,1,2,18,1,1,1,0,0,0,0,0,0,4
俺流塩らーめん～塩とタンメン～ 南平台店,35.65317695002718,139.6943851922808,0,0,9,27,3,0,0,0,0,0,0,0,0
豚山  恵比寿店,35.64560613872103,139.71112998406338,2,0,2,0,3,0,8,0,0,0,0,0,0
日本油党 渋谷総本部,35.66053483870784,139.6994935842223,1,1,0,0,0,0,0,0,0,45,0,0,0
一蘭 渋谷スペイン坂店,35.66098523870731,139.6987135842274,1,8,0,1,0,0,0,0,0,0,0,0,0
麺屋 夏鈴,35.686382948378736,139.7004331611329,15,0,4,12,1,0,0,2,1,0,1,0,3
東京麺人,35.68517730527882,139.7039412586291,0,0,0,0,0,0,0,0,0,0,0,0,0
代官山海老そば 豊秀,35.64832653871678,139.70320338409638,0,0,1,1,0,0,0,0,0,0,0,0,0
チプーン,35.669103938704325,139.70551958430462,1,0,0,0,0,0,0,2,0,8,0,0,0
らぁ麺や 嶋,35.68834184165506,139.68087413976107,26,0,0,7,7,0,0,0,1,0,0,0,0
Japanese Soba Noodles 蔦,35.670435728425545,139.6824242798966,24,0,0,13,3,0,0,8,3,2,0,0,0
風雲児 新宿本店,35.68683393869023,139.69663918448992,0,1,0,2,18,0,0,0,7,0,0,0,7
はやし,35.65732296056167,139.69811246961893,0,10,1,3,0,0,0,0,16,0,0,0,0
中華麺店 喜楽,35.659038238707964,139.696868384209,6,2,0,1,0,1,1,0,0,0,0,0,0
つけ麺 五ノ神製作所,35.68735063869221,139.70386148449012,0,0,6,0,24,0,0,0,3,0,0,0,0
おおぜき中華そば店,35.647043138719134,139.70801198408006,7,0,1,2,1,1,1,0,1,0,0,0,2
手打 親鶏中華そば 綾川,35.64662743185164,139.713669170078,5,0,0,1,0,0,0,0,0,0,0,0,0
麺恋処 いそじ,35.68126663869495,139.7003576844311,2,3,8,5,10,0,1,0,7,0,0,0,0
らーめん 穀雨,35.655065238711266,139.69934238416715,12,0,1,7,0,0,0,0,3,0,0,0,0
製麺ｒａｂｏ,35.68803993868433,139.68049418451346,6,1,0,2,8,1,0,0,5,0,0,0,0
うさぎ,35.655702338709006,139.6934932841777,5,0,0,0,7,0,0,16,2,0,0,0,0
麺処 図鑑,35.65925357847121,139.69760158982473,12,0,1,19,0,0,0,0,2,1,0,0,0
人類みな麺類 東京本店,35.649022055073814,139.70676213345385,25,0,0,3,2,0,0,0,1,0,0,0,0
らぁめん 一福,35.68301613868764,139.68086598446243,4,2,51,4,0,0,0,0,1,0,0,0,0
ラーメンの店 ホープ軒 千駄ヶ谷店,35.67658923870177,139.71245158437537,3,2,4,3,0,1,0,0,0,0,0,0,0
鬼そば 藤谷,35.6602793329787,139.69937000684183,0,0,1,35,2,0,0,0,0,0,0,0,0
らぁめん冠尾,35.647861098283485,139.7084878769169,1,0,0,0,0,0,0,1,0,0,0,0,14
味噌らーめん 柿田川 ひばり 恵比寿本店,35.64653933871934,139.70766148407523,0,2,67,1,2,0,0,0,2,0,0,0,0
炙り味噌らーめん 麺匠 真武咲弥 渋谷店,35.65786593870866,139.69674688419727,0,0,29,1,6,0,0,0,0,0,0,0,3
生姜醤油専門 我武者羅 幡ヶ谷本店,35.67796763080891,139.67842954265436,39,3,1,2,8,0,0,0,3,0,0,0,0
ラーメン ヤスオ,35.68396400836641,139.6985967583517,4,4,0,1,0,3,9,0,3,0,0,0,0
道玄坂 マンモス,35.65770773870868,139.69651198419584,2,5,0,1,38,0,0,0,7,0,0,0,0
麺の坊 砦,35.657174238707405,139.69139658419405,0,22,1,0,4,1,0,0,0,0,0,0,0
中華ソバ 櫻坂,35.656240138711084,139.70109308417778,2,7,1,7,9,0,0,0,10,0,0,0,1
